niat_s2,cr_s2,wcat_s2,ebitaat_s2,reat_s2
.0682861,-.0928864,.04077,.0689967,.0565763
.0569386,-.0983636,.0360607,.0633587,.0517975
.0519317,-.0984624,.0382211,.0767685,.0564072
.0692841,-.0982784,.0385328,.0813378,.0548588
.0608538,-.0986404,.0321797,.0805769,.0551307
.0686839,-.0984762,.0388181,.0776738,.0566509
.0726663,-.0862501,.0415589,.0812538,.0561628
.0601669,-.0975978,.0409483,.0592592,.0536324
.0646053,-.0984882,.0354281,.0779941,.055181
.0517572,-.0892016,.0334359,-.0175798,.0396206
.0355632,-.0982169,.0391205,-.0194182,.0521662
.0379574,-.0986144,.0133985,.0964759,.0163229
.0750775,-.0984578,.039528,.083702,.0565328
.067965,-.0906132,.0404549,.0758462,.0553673
-.0200405,-.0983011,.0388897,-.0489814,.0495555
-.1272055,-.098641,.0121694,-.0296784,.0261465
.0743373,-.0941304,.0408447,.0821961,.0565353
-.0158158,-.0984538,.0369827,-.0516988,.0435725
-.0253977,-.0947034,.043149,-.010651,.0510807
.0232805,-.0984186,.0384576,.0493906,.0535755
.0663956,-.0974368,.040375,.066258,.055425
.0508494,-.09772,.0411346,.0709558,.055542
.0950669,-.0966463,.0407088,.0704216,.055257
.052976,-.0986075,.0315411,.0814435,.0543763
-.7826907,-.0984606,-.0084303,-.8729011,.0140605
.0635573,-.0119769,.0405797,.0666576,.0561783
.0724814,-.0985689,.0364148,.0834527,.056041
-.0435698,-.0986478,.03032,-.1022398,.0527229
.0648379,-.0985049,.0364562,.0818371,.0556126
.0692724,-.0977997,.0390623,.080445,.0428632
.0732347,-.0815412,.0403635,.0822877,.05689
.0698045,-.0986012,.0315727,.0834903,.0549464
.070051,-.0979594,.0398038,.0773739,.0556352
.0638017,-.0986336,.0356828,.0790822,.0539591
.0763045,-.0986173,.036613,.0750587,.0558828
.074909,-.0979771,.0409175,.0823034,.0549537
.071059,-.0937761,.0409691,.080686,.0561933
.0487613,-.0978106,.039272,.0772175,.0550979
.0596604,-.0972756,.0401926,.0610889,.0544841
.0724225,-.0979288,.0397529,.0803015,.0565443
.0639914,-.0905729,.0407097,.0764654,.054913
.0493852,-.0985453,.0356222,.0787096,.0547846
.0699449,-.0955727,.040648,.0754278,.05605
.0750839,-.0973045,.0406138,.0805717,.0562488
.0667974,-.0974403,.0429882,.0756337,.055896
.0283349,-.0981696,.0399509,.0069182,.0554038
.0585839,-.0985908,.0375086,.0776813,.0566794
.0686587,-.098596,.0369945,.0758993,.0565222
.074525,-.0986104,.0367281,.07992,.0563711
.0613352,-.0983885,.03864,.0744139,.0557741
.0702815,-.0986465,.0349268,.0793537,.0561652
.0697767,-.0983598,.0391798,.0522637,.0550055
.0463723,-.0878527,.0414279,.0429833,.052948
.0414619,-.0633159,.0409685,.030635,.0561284
.0701638,-.0416416,.0436935,.0768892,.0560169
.0619069,-.0799828,.040636,.0654417,.0553815
-.1589057,-.0986043,-.0081205,-.1689584,-.0120103
.0653746,-.0962599,.0406484,.0840683,.0555234
.0578412,-.0911507,.0401572,.0636248,.0543504
.0727292,-.0983785,.0391223,.0816189,.0559978
.0725252,-.0965266,.0407316,.0785185,.0564351
.056927,-.0986443,.0341115,.0640061,.0552337
.0551475,-.0974144,.0399341,.0466198,.0552552
-.0929859,-.0962725,.0411542,-.0129047,.0496822
.0638494,-.0967179,.0395829,.0731533,.0547401
-.007126,-.0979734,.0423858,-.0187602,.0381371
.0609917,-.0953775,.0389594,.0653716,.0556208
.0151521,-.0977526,.040503,.0505328,.051642
.0259537,-.0884795,.0404702,.0266852,.0508519
.0655464,-.0951472,.0399364,.0696845,.0562977
.0723585,-.0986143,.0379023,.0808092,.0559245
