gvkey,fyear,conm,act,at,dlc,ebit,ni,re,wcap,survive,niat,cr,wcat,ebitaat,reat,niat_s,cr_s,wcat_s,reat_s,ebitaat_s
2415,1968,BROADCAST INDS CORP,1.014,1.754,0.11,-0.363,0.281,0.151,0.493,0,0.1602052,9.218183,0.2810718,-0.2069555,0.0860889,0.0777498,-0.0864628,0.0380812,0.0510791,0.0605161
1158,1969,AEROLOGICAL RESEARCH INC,0.865,2.212,0.474,-0.27,-0.472,-0.548,0.049,0,-0.2133816,1.824895,0.0221519,-0.1220615,-0.2477396,0.0604194,-0.0889055,0.0363095,0.0506935,0.0665881
3830,1969,DECITRON ELECTRONICS CORP,1.603,3.305,1.126,-0.614,0.378,-1.761,0.061,0,0.1143722,1.423623,0.0184569,-0.1857791,-0.532829,0.0756237,-0.0890381,0.0362842,0.0503641,0.0620308
3989,1969,DIVERSA INC,1.006,40.053,9.713,-0.913,-13.413,-26.093,-14.232,0,-0.3348813,0.1035725,-0.3553292,-0.0227948,-0.6514618,0.0547831,-0.0894743,0.0337266,0.050227,0.0736882
4586,1969,FARRINGTON MFG CO,27.104,37.637,7.456,-3.523,-5.119,-18.286,11.527,0,-0.1360098,3.635193,0.3062678,-0.0936047,-0.4858516,0.0640086,-0.0883074,0.0382536,0.0504184,0.0686235
4855,1969,FORUM COS INC,3.811,15.489,6.772,0.079,-3.174,-7.337,-5.039,0,-0.2049196,0.5627584,-0.3253276,0.0051004,-0.473691,0.060812,-0.0893225,0.0339319,0.0504324,0.0756834
5230,1969,GOODWAY INC,7.817,13.613,1.434,1.095,0.088,2.015,3.048,0,0.0064644,5.451185,0.2239036,0.0804378,0.1480203,0.0706179,-0.0877074,0.03769,0.0511507,0.0810718
6636,1969,LEASING COUNSULTANTS INC,5.98,27.156,9.738,3.718,1.301,2.1,-1.113,0,0.0479084,0.6140891,-0.0409854,0.1369126,0.077331,0.0725405,-0.0893056,0.0358775,0.051069,0.0851112
7442,1969,MIRACLE PET PRODUCTS INC,5.175,8.024,1.377,-0.07,-0.144,-0.292,2.585,0,-0.0179462,3.75817,0.3221585,-0.0087238,-0.0363908,0.0694855,-0.0882668,0.0383623,0.0509376,0.0746946
7764,1969,NATIONAL RADIO INC,6.354,8.462,2.507,-1.45,-1.99,-3.211,1.36,0,-0.235169,2.534503,0.1607185,-0.1713543,-0.3794611,0.0594087,-0.0886711,0.0372576,0.0505413,0.0630625
