survive,niat_s,cr_s,wcat_s,reat_s,ebitaat_s
1,.069843,-.09019,.0388307,.0517623,.0783016
1,.0658652,-.0910253,.036141,.0511183,.0717887
1,.0596687,-.0754403,.0377312,.0513168,.0750012
1,.0687537,-.0922489,.0363396,.0515802,.0772896
1,.0734771,-.0915074,.0377407,.0518553,.0830813
1,-8.199507,-.0929404,-6.44931,-7.360775,-12.58687
1,.0703746,-.0900737,.037953,.0507465,.0698792
1,.0627988,-.0868767,.0397311,.0514037,.0747102
1,.0694173,-.0767114,.0370804,.0515637,.0759899
1,.0706946,-.0917152,.0366817,.0519962,.0800566
1,.0742636,.5099771,.0413169,.0521592,.086718
1,.0703309,-.086803,.0367003,.0515908,.0791262
1,.0592131,-.0916814,.0363576,.0475047,.0630875
1,.0696001,-.0895754,.0369332,.0514853,.078233
1,.0693315,-.0914234,.0364555,.0518742,.0750808
1,.0710356,-.0850301,.0364004,.052151,.0774402
1,.0603716,-.0910238,.0370275,.0513879,.0669891
1,.0676614,-.0897212,.0377233,.0519778,.0713005
1,.0712108,-.0896515,.0369469,.0518791,.0813629
1,.0716217,-.0906461,.0383728,.051133,.0783809
1,.0696329,-.0756064,.0366862,.0518748,.0784302
1,.0655705,-.0905509,.0353318,.0509841,.0708129
1,.06649,-.0905024,.0368335,.0512664,.0708588
1,.0736295,1.391505,.0385334,.0517838,.0867101
1,.0697701,-.092153,.0363481,.0515638,.0778631
1,.0702821,-.0920817,.0366163,.0516596,.0736818
1,.0683494,-.092247,.0371462,.0515842,.0773824
1,.0674565,-.0884329,.0382389,.0519652,.0758821
1,.0713742,-.0893113,.0375537,.0519656,.0817528
1,.0711589,-.0878772,.0381377,.0515945,.0812071
1,.0671867,-.0395292,.0395558,.0373202,.0699669
1,.0698488,-.0698285,.0380342,.0516741,.0766968
1,.0681249,4.196305,.0374153,.0518839,.0776045
1,.0680314,-.0803858,.0369493,.0519162,.0752533
1,.069214,-.0922446,.0362929,.051588,.0765102
1,.0670397,1.380686,.039054,.0527616,.0721006
1,.0688885,-.0694093,.0369771,.0521345,.0792324
1,.0718221,-.0869579,.0377813,.0515713,.0833845
1,.0732581,-.0928758,.0342014,.0173722,.0788458
1,.070949,-.07751,.0386619,.0517723,.0797679
1,.0694839,-.0915533,.0364137,.0515806,.0774802
1,.0617998,-.0881025,.0375703,.0518379,.0656112
1,.0689632,-.0914751,.0366519,.0516131,.0762063
1,.0692143,-.0777026,.0385938,.0517476,.0772614
1,.0699396,-.0910955,.0397593,.0519612,.075922
1,.0688323,-.0824887,.0370713,.0518354,.0773623
1,.0672436,-.0886928,.0389831,.0518761,.080497
1,.0697851,-.0905754,.0370748,.0516783,.0800866
1,.0699181,-.0918733,.0366435,.0515855,.0785627
1,.0693622,-.0895585,.0379314,.0521984,.0759725
1,.0708817,-.0838655,.0369426,.051954,.0789061
1,.0617006,-.091901,.036247,.051775,.0782973
1,.0603512,-.0220063,.0393015,.0517347,.0793347
1,.0731277,-.0910399,.0367272,.0517968,.0849544
1,.0766281,-.0894615,.0385488,.0521836,.0893549
1,.0749782,-.0885359,.0385413,.0521843,.0890278
1,.0712101,-.0909623,.0369387,.0518756,.0809779
1,.0698027,-.0886522,.037486,.0518279,.0775382
1,.0556193,-.0923273,.0366888,.0518518,.0505536
1,.0613093,-.0635684,.0372114,.0513709,.0798818
1,.0637149,-.0852978,.0383274,.0517437,.068341
1,.0742705,-.0892039,.0378987,.0518316,.0858998
1,.0979901,-.0847539,.0372158,.0409375,.0476607
1,.0708658,-.0591761,.0394856,.0522418,.0832982
1,.0745118,-.0892363,.038496,.0523667,.0866233
1,.0692213,-.0919325,.0362347,.0514988,.0798556
1,.0705683,-.0911824,.0361626,.0514324,.0806968
1,.0646459,.42533,.0397795,.0495771,.0714046
1,.071764,-.0880782,.0370093,.0518295,.0826079
1,.0710848,.0048641,.0394497,.0519727,.0803373
1,.0683095,-.081166,.0368681,.0512912,.0759327
1,.0367759,-.0733282,.0411641,.042614,.0232552
1,.0696087,-.0919356,.0363869,.0516235,.0759753
1,.0726555,-.0770919,.036847,.0520439,.0856989
1,.0737453,-.0620752,.0375883,.0522882,.0838229
1,.0694523,-.0769144,.0366859,.0516667,.0761557
1,.0698111,2.529636,.039331,.0515085,.0774125
1,.0698982,-.088659,.0368898,.0506016,.0776179
1,.0705052,-.0892956,.0376429,.0519879,.0803209
1,.0693888,-.0012353,.0387366,.0520458,.0770539
1,.0839974,-.0735321,.038081,.0524991,.085755
1,.0708527,-.0885259,.0357863,.0515913,.0809926
